,question,answer,context
640,How many actions does it take to process the oil?,2,"core the apples and peel them . cut into slices and leave them overnight in the mixture of sugar and cinnamon . beat the eggs with the milk and add flour and baking powder . the batter should n't be too thin , it should stick to the apple slices . dip the apple slices in the batter , let the excess drip off and fry in hot oil at 180 degc until golden brown . leave to drain and serve with a dusting of icing sugar . "
641,How many times is the whisk used?,3,"core the apples and peel them . cut into slices and leave them overnight in the mixture of sugar and cinnamon . beat the eggs with the milk and add flour and baking powder . the batter should n't be too thin , it should stick to the apple slices . dip the apple slices in the batter , let the excess drip off and fry in hot oil at 180 degc until golden brown . leave to drain and serve with a dusting of icing sugar . "
642,How many actions does it take to process the baking powder?,1,"core the apples and peel them . cut into slices and leave them overnight in the mixture of sugar and cinnamon . beat the eggs with the milk and add flour and baking powder . the batter should n't be too thin , it should stick to the apple slices . dip the apple slices in the batter , let the excess drip off and fry in hot oil at 180 degc until golden brown . leave to drain and serve with a dusting of icing sugar . "
643,How many times is the bowl used?,3,"core the apples and peel them . cut into slices and leave them overnight in the mixture of sugar and cinnamon . beat the eggs with the milk and add flour and baking powder . the batter should n't be too thin , it should stick to the apple slices . dip the apple slices in the batter , let the excess drip off and fry in hot oil at 180 degc until golden brown . leave to drain and serve with a dusting of icing sugar . "
644,How many actions does it take to process the biscuit?,2,preheat oven to 375degf. mix all ingredients except biscuits . boil gently 5 minutes . put about 3/4 cup mixture into each of 8 individual baking dishes and top each with biscuit ( not me ! ! i hate doing dishes ! ! ) bake until golden brown ( about 20 minutes ) . serve at once . 
645,How many actions does it take to process the parsley?,1,"mix meat with onion , spices , salt , lard , parsley , and oil . place in refrigerator for 4 hours tossing occasionally . meanwhile prepare charcoal . thread meat , onion , tomatoes , bell peppers onto skewers , alternating the ingredients . grill over hot coals . turning several times until tender and browned , about 8 minutes . serve hot with salads and appetizers . "
646,How many actions does it take to process the salt?,1,"mix meat with onion , spices , salt , lard , parsley , and oil . place in refrigerator for 4 hours tossing occasionally . meanwhile prepare charcoal . thread meat , onion , tomatoes , bell peppers onto skewers , alternating the ingredients . grill over hot coals . turning several times until tender and browned , about 8 minutes . serve hot with salads and appetizers . "
647,How many actions does it take to process the ginger?,1,"mix all the dals , vegetables with half mutton and pressure cook for few minutes . blend all of them to a fine paste with salt , spinach and green chilies . boil the remaining half of the mutton and keep aside . heat oil in a pan , fry fenugreek leaves along with onions , ginger - garlic paste , dhansagh masala powder for 2 - 3 minutes . then add chopped tomatoes , mutton pieces , dal - vegetable mix and cook for another 10 - 15 minutes . serve with brown rice or chapathis . "
648,How many actions does it take to process the onion?,1,"mix all the dals , vegetables with half mutton and pressure cook for few minutes . blend all of them to a fine paste with salt , spinach and green chilies . boil the remaining half of the mutton and keep aside . heat oil in a pan , fry fenugreek leaves along with onions , ginger - garlic paste , dhansagh masala powder for 2 - 3 minutes . then add chopped tomatoes , mutton pieces , dal - vegetable mix and cook for another 10 - 15 minutes . serve with brown rice or chapathis . "
649,How many actions does it take to process the lentil?,1,"1 1/2 cups lentils . dice onion and celery . cleave wings at their joints , and clean ( do not remove skin ) . clean and chop liver . after chicken is cleaned and cleaved , place in a bowl along with the liver and evenly coat with season all . using a 2 gallon heavy aluminum or cast iron pot with secure lid , fill half way with water and add all ingredients minus rice . let cook until chicken has taken on the color of the surrounding water and is cooked through . add rice , cover pot and turn heat to low . stir occasionally until water beings to dissipate then cover for the last time and let cook till rice resembles jumbalia consistency . or in other words , until rice is cooked but still has a wet texture . "
650,How many actions does it take to process the season all?,1,"1 1/2 cups lentils . dice onion and celery . cleave wings at their joints , and clean ( do not remove skin ) . clean and chop liver . after chicken is cleaned and cleaved , place in a bowl along with the liver and evenly coat with season all . using a 2 gallon heavy aluminum or cast iron pot with secure lid , fill half way with water and add all ingredients minus rice . let cook until chicken has taken on the color of the surrounding water and is cooked through . add rice , cover pot and turn heat to low . stir occasionally until water beings to dissipate then cover for the last time and let cook till rice resembles jumbalia consistency . or in other words , until rice is cooked but still has a wet texture . "
651,How many times is the knife used?,2,"1 1/2 cups lentils . dice onion and celery . cleave wings at their joints , and clean ( do not remove skin ) . clean and chop liver . after chicken is cleaned and cleaved , place in a bowl along with the liver and evenly coat with season all . using a 2 gallon heavy aluminum or cast iron pot with secure lid , fill half way with water and add all ingredients minus rice . let cook until chicken has taken on the color of the surrounding water and is cooked through . add rice , cover pot and turn heat to low . stir occasionally until water beings to dissipate then cover for the last time and let cook till rice resembles jumbalia consistency . or in other words , until rice is cooked but still has a wet texture . "
652,How many actions does it take to process the ghee?,1,fry cardamom green in ghee till pop and flavour emit . now add vermicelli and fry for 4 - 5 minutes . add water and sugar and cook on medium heat for 2 - 3 minutes . sprinkle nuts and simmer for 5 minutes . delicious punjabi sawian are ready . serve hot or cold . 
653,How many actions does it take to process the vermicellu?,1,fry cardamom green in ghee till pop and flavour emit . now add vermicelli and fry for 4 - 5 minutes . add water and sugar and cook on medium heat for 2 - 3 minutes . sprinkle nuts and simmer for 5 minutes . delicious punjabi sawian are ready . serve hot or cold . 
654,How many actions does it take to process the egg?,2,cream the brown sugar in the butter . add the molasses and eggs and mix well . stir baking powder into flour . add in ginger or spice to taste . bake in a loaf pan for 1 hour . 
655,How many actions does it take to process the ginger?,1,cream the brown sugar in the butter . add the molasses and eggs and mix well . stir baking powder into flour . add in ginger or spice to taste . bake in a loaf pan for 1 hour . 
656,How many actions does it take to process the condensed milk?,1,"in a bullet blender or food processor , pulse strawberries until well blended . next , pulse chocolate chips until finely chopped . mix the chocolate together with the strawberries and set aside . whip cream until stiff peaks form , but be careful not to over whip . in a separate bowl , whisk condensed milk , vanilla extract and salt together . fold in the fresh whipped cream until a smooth and creamy mixture forms . add strawberries and chocolate and fold into the cream until everything is blended . place into an air - tight container and freeze for several hours , until it becomes ice cream . "
657,How many actions does it take to process the salmon?,1,"preheat oven at 350deg . in a large pot place the peeled and diced potatoes , add the garlic cloves minced and cover with water . add salt and bring to boil . keep to a gentle boiling roll until the potatoes are tender , about 10 - 15 minutes . when the potatoes are done , drain and place them in a large bowl . mash them . meanwhile in a cookie sheet lined with aluminum foil , place the skinless salmon fillets and bake for 10 minutes . salmon should be medium rare . flake the salmon and add it to the potatoes bowl . add the scallions , lemon juice , eggs , parmesan , panko , sage and marjoram and bread crumbs . mix well . season with salt and pepper to taste . form the mixture into patties . in a large skillet add the cooking oil , 1/4 inch . working in batches add a few patties at the time and over medium high heat , fry until nicely browned and crisp on each side . remove and place on a cookie sheet . repeat until all the cakes are done . place all the fried cakes in the oven and bake for 10 minutes . serve with a lemon mayonnaise sauce . "
658,How many actions does it take to process the lemon mayonnaise sauce?,1,"preheat oven at 350deg . in a large pot place the peeled and diced potatoes , add the garlic cloves minced and cover with water . add salt and bring to boil . keep to a gentle boiling roll until the potatoes are tender , about 10 - 15 minutes . when the potatoes are done , drain and place them in a large bowl . mash them . meanwhile in a cookie sheet lined with aluminum foil , place the skinless salmon fillets and bake for 10 minutes . salmon should be medium rare . flake the salmon and add it to the potatoes bowl . add the scallions , lemon juice , eggs , parmesan , panko , sage and marjoram and bread crumbs . mix well . season with salt and pepper to taste . form the mixture into patties . in a large skillet add the cooking oil , 1/4 inch . working in batches add a few patties at the time and over medium high heat , fry until nicely browned and crisp on each side . remove and place on a cookie sheet . repeat until all the cakes are done . place all the fried cakes in the oven and bake for 10 minutes . serve with a lemon mayonnaise sauce . "
659,How many times is the sieve used?,1,"cover vegetables with water , add seasoning and cook until well done . force through sieve . heat butter until light brown , stir in flour , and let mixture cook until it bubbles and is well blended . gradually add hot milk to the flour mixture and let simmer just below the boiling point until mixture is smooth and thick . add to strained vegetables and let simmer until smooth and thickened . sprinkle with chopped parsley and serve with egg barley . "
660,How many actions does it take to process the butter?,2,"cover vegetables with water , add seasoning and cook until well done . force through sieve . heat butter until light brown , stir in flour , and let mixture cook until it bubbles and is well blended . gradually add hot milk to the flour mixture and let simmer just below the boiling point until mixture is smooth and thick . add to strained vegetables and let simmer until smooth and thickened . sprinkle with chopped parsley and serve with egg barley . "
661,How many actions does it take to process the hot milk?,2,"cover vegetables with water , add seasoning and cook until well done . force through sieve . heat butter until light brown , stir in flour , and let mixture cook until it bubbles and is well blended . gradually add hot milk to the flour mixture and let simmer just below the boiling point until mixture is smooth and thick . add to strained vegetables and let simmer until smooth and thickened . sprinkle with chopped parsley and serve with egg barley . "
662,How many actions does it take to process the flavoring?,1,"first cream together thoroughly the butter or shortening and the sugar . add the slightly beaten egg . mix and sift the dry ingredients and add alternatively with the milk to the first mixture . add flavoring . toss on lightly floured board , roll thin , cut and place on a greased baking sheet . bake in a moderate oven ( 350degf ) twelve to fifteen minutes . "
663,How many times is the baking sheet used?,2,"first cream together thoroughly the butter or shortening and the sugar . add the slightly beaten egg . mix and sift the dry ingredients and add alternatively with the milk to the first mixture . add flavoring . toss on lightly floured board , roll thin , cut and place on a greased baking sheet . bake in a moderate oven ( 350degf ) twelve to fifteen minutes . "
664,How many actions does it take to process the dry ingredient?,1,"first cream together thoroughly the butter or shortening and the sugar . add the slightly beaten egg . mix and sift the dry ingredients and add alternatively with the milk to the first mixture . add flavoring . toss on lightly floured board , roll thin , cut and place on a greased baking sheet . bake in a moderate oven ( 350degf ) twelve to fifteen minutes . "
665,How many actions does it take to process the flour?,1,"first melt fat , add brown sugar , eggs and milk . add sifted salt , flour and baking powder , and chopped peanuts . drop by teaspoonfuls on greased pans , an inch or two apart . place a half peanut on each and bake in a quick oven ( 400 degrees f. ) . "
666,How many actions does it take to process the brown sugar?,1,"first melt fat , add brown sugar , eggs and milk . add sifted salt , flour and baking powder , and chopped peanuts . drop by teaspoonfuls on greased pans , an inch or two apart . place a half peanut on each and bake in a quick oven ( 400 degrees f. ) . "
667,How many actions does it take to process the giardiniera?,2,"boil the cubed potatoes with sea salt until done but not falling apart . drain well and set aside to cool off . cook the peas in a small pan with some water until slightly tender . drain and set aside . chop 3 of the hard - boiled eggs in small cubes . slice the remaining egg and set aside ( used for garnishing ) cut in small pieces the giardiniera and add them to a large bowl . add the peas , tuna , rinsed caper , mustard , chopped eggs , chopped cornichons , salt and pepper , half of the mayonnaise . mix well . add the cooled diced potatoes to the bowl and mix well . add more mayonnaise as you go along until you have a soft consistency salad . taste to adjust the flavor let the insalata rest in the refrigerator for at least 1 hour , decorate with the sliced egg and serve . "
668,How many times is the knife used?,2,"boil the cubed potatoes with sea salt until done but not falling apart . drain well and set aside to cool off . cook the peas in a small pan with some water until slightly tender . drain and set aside . chop 3 of the hard - boiled eggs in small cubes . slice the remaining egg and set aside ( used for garnishing ) cut in small pieces the giardiniera and add them to a large bowl . add the peas , tuna , rinsed caper , mustard , chopped eggs , chopped cornichons , salt and pepper , half of the mayonnaise . mix well . add the cooled diced potatoes to the bowl and mix well . add more mayonnaise as you go along until you have a soft consistency salad . taste to adjust the flavor let the insalata rest in the refrigerator for at least 1 hour , decorate with the sliced egg and serve . "
669,How many times is the pot used?,2,"boil the cubed potatoes with sea salt until done but not falling apart . drain well and set aside to cool off . cook the peas in a small pan with some water until slightly tender . drain and set aside . chop 3 of the hard - boiled eggs in small cubes . slice the remaining egg and set aside ( used for garnishing ) cut in small pieces the giardiniera and add them to a large bowl . add the peas , tuna , rinsed caper , mustard , chopped eggs , chopped cornichons , salt and pepper , half of the mayonnaise . mix well . add the cooled diced potatoes to the bowl and mix well . add more mayonnaise as you go along until you have a soft consistency salad . taste to adjust the flavor let the insalata rest in the refrigerator for at least 1 hour , decorate with the sliced egg and serve . "
670,How many times is the knife used?,1,"in a bowl , combine the rice vinegar , peanut oil , soy sauce , sesame oil and crushed red pepper and sugar ( if using ) and wisk well . add cucumbers and red onion , and toss them in dressing . cover and refrigerate for an hour or up to 24 hours . to serve , sprinkle with toasted sesame seeds and chopped cilantro . can be served chilled or at room temperature . "
671,How many actions does it take to process the crushed red pepper?,1,"in a bowl , combine the rice vinegar , peanut oil , soy sauce , sesame oil and crushed red pepper and sugar ( if using ) and wisk well . add cucumbers and red onion , and toss them in dressing . cover and refrigerate for an hour or up to 24 hours . to serve , sprinkle with toasted sesame seeds and chopped cilantro . can be served chilled or at room temperature . "
672,How many times is the bowl used?,1,"in a bowl , combine the rice vinegar , peanut oil , soy sauce , sesame oil and crushed red pepper and sugar ( if using ) and wisk well . add cucumbers and red onion , and toss them in dressing . cover and refrigerate for an hour or up to 24 hours . to serve , sprinkle with toasted sesame seeds and chopped cilantro . can be served chilled or at room temperature . "
673,How many actions does it take to process the cilantro?,1,"in a bowl , combine the rice vinegar , peanut oil , soy sauce , sesame oil and crushed red pepper and sugar ( if using ) and wisk well . add cucumbers and red onion , and toss them in dressing . cover and refrigerate for an hour or up to 24 hours . to serve , sprinkle with toasted sesame seeds and chopped cilantro . can be served chilled or at room temperature . "
674,How many actions does it take to process the sausage?,2,"n a soup pot saute the pancetta in olive oil for 2 minutes . add onion , saute briefly . add garlic , saute for 2 minutes until the onion becomes glassy . stir in sausage , saute on medium heat for 3 minutes . add water , bring to the boil , then reduce the heat , cover and cook over low heat for 20 minutes . add savoy cabbage to the soup , cook for another 5 minutes . whisk in sour cream and lemon juice . serve . "
675,How many actions does it take to process the onion?,3,"n a soup pot saute the pancetta in olive oil for 2 minutes . add onion , saute briefly . add garlic , saute for 2 minutes until the onion becomes glassy . stir in sausage , saute on medium heat for 3 minutes . add water , bring to the boil , then reduce the heat , cover and cook over low heat for 20 minutes . add savoy cabbage to the soup , cook for another 5 minutes . whisk in sour cream and lemon juice . serve . "
676,How many actions does it take to process the dijon mustard?,2,"makes 16 small sandwiches lay the bread slices out on the counter or cutting board . spread half the bread slices with a thin layer of apricot jam . arrange sliced ham on top . spread the other bread slices with a thin layer of dijon mustard and set on top of the ham . with a serrated knife , trim the crusts . to serve , cut into squares , triangles , or fingers . "
677,How many actions does it take to process the ham?,1,"makes 16 small sandwiches lay the bread slices out on the counter or cutting board . spread half the bread slices with a thin layer of apricot jam . arrange sliced ham on top . spread the other bread slices with a thin layer of dijon mustard and set on top of the ham . with a serrated knife , trim the crusts . to serve , cut into squares , triangles , or fingers . "
678,How many actions does it take to process the parsley?,1,"preheat oven to 350 degf. in a bowl , combine ricotta cheese , parmesan cheese and egg whites . mix well . on the bottom of a 15 x 9-inch greased lasagna pan , spread 1 cup of pasta sauce . top with half each of the uncooked lasagna noodles , ricotta cheese mixture , soy crumbles , pasta sauce and mozzarella . repeat layering with noodles , ricotta cheese mixture , soy crumbles , pasta sauce and mozzarella cheese . top with parsley . cover tightly . bake one hour or until hot and bubbly . let stand covered 15 minutes before serving . "
679,How many actions does it take to process the ricotta cheese?,2,"preheat oven to 350 degf. in a bowl , combine ricotta cheese , parmesan cheese and egg whites . mix well . on the bottom of a 15 x 9-inch greased lasagna pan , spread 1 cup of pasta sauce . top with half each of the uncooked lasagna noodles , ricotta cheese mixture , soy crumbles , pasta sauce and mozzarella . repeat layering with noodles , ricotta cheese mixture , soy crumbles , pasta sauce and mozzarella cheese . top with parsley . cover tightly . bake one hour or until hot and bubbly . let stand covered 15 minutes before serving . "
680,How many actions does it take to process the salt?,3,"soak the chickpeas overnight , or at least for 5 - 6 hours . place them into a heat - proof crock - pot and add the salt and the olive oil . cover and bake them for hours in 250degc. serve with lemon . "
681,How many actions does it take to process the lemon?,1,"soak the chickpeas overnight , or at least for 5 - 6 hours . place them into a heat - proof crock - pot and add the salt and the olive oil . cover and bake them for hours in 250degc. serve with lemon . "
682,How many actions does it take to process the bacon strip?,1,"heat 150 g of cream with the bacon , bring to a boil and reduce to a thick liquid , strain , leave to cool and preserve in the fridge . throw away the bacon strips . melt the butter , add pumpkin pieces and cook for 3 - 4 minutes . add the milk , salt and leave to cook ( covered ) for 30 minutes . whip the remaining cream ( very cold ) rapidly until consistency of whipped cream . incorporate the equally cold bacon cream . keep the mixture in the fridge . after 30 minutes blend the pumpkin milk mixture . adjust the seasoning by adding salt and maybe pepper . serve this soup hot and top gently with a tbsp of bacon cream . "
683,How many times is the spoon used?,1,"heat 150 g of cream with the bacon , bring to a boil and reduce to a thick liquid , strain , leave to cool and preserve in the fridge . throw away the bacon strips . melt the butter , add pumpkin pieces and cook for 3 - 4 minutes . add the milk , salt and leave to cook ( covered ) for 30 minutes . whip the remaining cream ( very cold ) rapidly until consistency of whipped cream . incorporate the equally cold bacon cream . keep the mixture in the fridge . after 30 minutes blend the pumpkin milk mixture . adjust the seasoning by adding salt and maybe pepper . serve this soup hot and top gently with a tbsp of bacon cream . "
684,How many actions does it take to process the bacon?,3,"heat 150 g of cream with the bacon , bring to a boil and reduce to a thick liquid , strain , leave to cool and preserve in the fridge . throw away the bacon strips . melt the butter , add pumpkin pieces and cook for 3 - 4 minutes . add the milk , salt and leave to cook ( covered ) for 30 minutes . whip the remaining cream ( very cold ) rapidly until consistency of whipped cream . incorporate the equally cold bacon cream . keep the mixture in the fridge . after 30 minutes blend the pumpkin milk mixture . adjust the seasoning by adding salt and maybe pepper . serve this soup hot and top gently with a tbsp of bacon cream . "
685,How many times is the strainer used?,3,"heat 150 g of cream with the bacon , bring to a boil and reduce to a thick liquid , strain , leave to cool and preserve in the fridge . throw away the bacon strips . melt the butter , add pumpkin pieces and cook for 3 - 4 minutes . add the milk , salt and leave to cook ( covered ) for 30 minutes . whip the remaining cream ( very cold ) rapidly until consistency of whipped cream . incorporate the equally cold bacon cream . keep the mixture in the fridge . after 30 minutes blend the pumpkin milk mixture . adjust the seasoning by adding salt and maybe pepper . serve this soup hot and top gently with a tbsp of bacon cream . "
686,How many actions does it take to process the dry ingredient?,1,"preheat oven to 350degf. in a large bowl , combine flour and baking powder . add margarine and blend with fork until mixture resembles coarse crumbs . in a medium bowl , combine remaining ingredients , except raisins . beat with fork or wire whisk until blended . add this mixture and raisins to dry ingredients , stirring until all ingredients are moistened . place a in a 4x8 "" nonstick loaf pan or one that has been sprayed with a nonstick cooking spray . pat down dough gently with slightly wet fingertips . bake 30 minutes , or until toothpick inserted in the center comes out clean . cool in pan 10 minutes , then invert onto a rack to finish cooling . "
687,How many times is the rack used?,1,"preheat oven to 350degf. in a large bowl , combine flour and baking powder . add margarine and blend with fork until mixture resembles coarse crumbs . in a medium bowl , combine remaining ingredients , except raisins . beat with fork or wire whisk until blended . add this mixture and raisins to dry ingredients , stirring until all ingredients are moistened . place a in a 4x8 "" nonstick loaf pan or one that has been sprayed with a nonstick cooking spray . pat down dough gently with slightly wet fingertips . bake 30 minutes , or until toothpick inserted in the center comes out clean . cool in pan 10 minutes , then invert onto a rack to finish cooling . "
688,How many actions does it take to process the flour?,2,"preheat oven to 350degf. in a large bowl , combine flour and baking powder . add margarine and blend with fork until mixture resembles coarse crumbs . in a medium bowl , combine remaining ingredients , except raisins . beat with fork or wire whisk until blended . add this mixture and raisins to dry ingredients , stirring until all ingredients are moistened . place a in a 4x8 "" nonstick loaf pan or one that has been sprayed with a nonstick cooking spray . pat down dough gently with slightly wet fingertips . bake 30 minutes , or until toothpick inserted in the center comes out clean . cool in pan 10 minutes , then invert onto a rack to finish cooling . "
689,How many actions does it take to process the jam?,1,"heat oven to 400 degrees f. and butter your muffin tin . in large bowl , whisk together flour and sugar . add the softened butter , zest and raisins until a fine crumb mixture forms . in a cup whisk milk and egg together . set aside about 2 tablespoons of milk mixture for brushing the scones afterwards . add the milk and egg mixture and stir with a fork until a wet sticky dough forms . transfer to a well floured surface punch out about 8 circles and transfer to the muffin tin . brush each scone with reserved milk and egg mixture . bake the scones for about 15 minutes or until golden . serve warm with jam and butter . "
690,How many actions does it take to process the sugar?,1,"heat oven to 400 degrees f. and butter your muffin tin . in large bowl , whisk together flour and sugar . add the softened butter , zest and raisins until a fine crumb mixture forms . in a cup whisk milk and egg together . set aside about 2 tablespoons of milk mixture for brushing the scones afterwards . add the milk and egg mixture and stir with a fork until a wet sticky dough forms . transfer to a well floured surface punch out about 8 circles and transfer to the muffin tin . brush each scone with reserved milk and egg mixture . bake the scones for about 15 minutes or until golden . serve warm with jam and butter . "
691,How many actions does it take to process the milk?,1,"shred the zucchini into a bowl and add the chopped onion . in a separate bowl combine the flour , cornmeal , baking powder and seasonings . in a separate bowl whisk together the eggs , milk and parsley add to the zucchini and mixture and then add the dry ingredients and stir until incorporated . let this mixture sit for about 5 minutes . heat a large cast iron frying pan with a tablespoon or two of olive oil . ( you may need and extra tablespoon during the sauteing process . ) spoon the batter into the frying pan . do not overcrowd the pan . when cooked on one side flip and finish cooking to a nice golden color . this will take about 2 -3 minutes on each side . do not make the heat too hot or you will burn them . serve with a little sour cream . "
692,How many times is the grater used?,1,"shred the zucchini into a bowl and add the chopped onion . in a separate bowl combine the flour , cornmeal , baking powder and seasonings . in a separate bowl whisk together the eggs , milk and parsley add to the zucchini and mixture and then add the dry ingredients and stir until incorporated . let this mixture sit for about 5 minutes . heat a large cast iron frying pan with a tablespoon or two of olive oil . ( you may need and extra tablespoon during the sauteing process . ) spoon the batter into the frying pan . do not overcrowd the pan . when cooked on one side flip and finish cooking to a nice golden color . this will take about 2 -3 minutes on each side . do not make the heat too hot or you will burn them . serve with a little sour cream . "
693,How many actions does it take to process the baking powder?,1,"shred the zucchini into a bowl and add the chopped onion . in a separate bowl combine the flour , cornmeal , baking powder and seasonings . in a separate bowl whisk together the eggs , milk and parsley add to the zucchini and mixture and then add the dry ingredients and stir until incorporated . let this mixture sit for about 5 minutes . heat a large cast iron frying pan with a tablespoon or two of olive oil . ( you may need and extra tablespoon during the sauteing process . ) spoon the batter into the frying pan . do not overcrowd the pan . when cooked on one side flip and finish cooking to a nice golden color . this will take about 2 -3 minutes on each side . do not make the heat too hot or you will burn them . serve with a little sour cream . "
694,How many actions does it take to process the sauce?,2,"in a shallow dish , stir together egg , water , rosemary , black pepper , and garlic granules . put the bread crumbs in another dish . dip pork steaks into egg mixture , coat with bread crumbs . brown steaks in butter and oil for 5 minutes on each side . remove , place in a baking dish . in the same skillet stir in apple chips , sour cream and bouillon , cook briefly . pour the sauce over pork , cover the and bake in oven at 170'c for 45 minutes . serve with cooked bulgur , rice or barley . "
695,How many times is the shallow dish used?,2,"in a shallow dish , stir together egg , water , rosemary , black pepper , and garlic granules . put the bread crumbs in another dish . dip pork steaks into egg mixture , coat with bread crumbs . brown steaks in butter and oil for 5 minutes on each side . remove , place in a baking dish . in the same skillet stir in apple chips , sour cream and bouillon , cook briefly . pour the sauce over pork , cover the and bake in oven at 170'c for 45 minutes . serve with cooked bulgur , rice or barley . "
696,How many actions does it take to process the butter?,1,"in a shallow dish , stir together egg , water , rosemary , black pepper , and garlic granules . put the bread crumbs in another dish . dip pork steaks into egg mixture , coat with bread crumbs . brown steaks in butter and oil for 5 minutes on each side . remove , place in a baking dish . in the same skillet stir in apple chips , sour cream and bouillon , cook briefly . pour the sauce over pork , cover the and bake in oven at 170'c for 45 minutes . serve with cooked bulgur , rice or barley . "
697,How many times is the tong used?,3,"in a shallow dish , stir together egg , water , rosemary , black pepper , and garlic granules . put the bread crumbs in another dish . dip pork steaks into egg mixture , coat with bread crumbs . brown steaks in butter and oil for 5 minutes on each side . remove , place in a baking dish . in the same skillet stir in apple chips , sour cream and bouillon , cook briefly . pour the sauce over pork , cover the and bake in oven at 170'c for 45 minutes . serve with cooked bulgur , rice or barley . "
698,How many actions does it take to process the mango?,3,"i find the easiest way to cut up mango for this is to cut off as much as you can , slicing along the side of the pit . you can tell what way the pit grows by its shape . score the mango halves lengthways , then crossways , into 3/4 inch cubes , going through to the skin , but not through it . turn the mango halves inside out and slice off the cubes . toss with remaining ingredients . goes well with any thai or indonesian dish . "
699,How many actions does it take to process the ingredient?,1,"i find the easiest way to cut up mango for this is to cut off as much as you can , slicing along the side of the pit . you can tell what way the pit grows by its shape . score the mango halves lengthways , then crossways , into 3/4 inch cubes , going through to the skin , but not through it . turn the mango halves inside out and slice off the cubes . toss with remaining ingredients . goes well with any thai or indonesian dish . "
700,How many actions does it take to process the flour?,1,"combine the first four ingredients , mix well , but lightly . shape into meatballs- about 36 ( may be frozen at this point and thawed as needed ) . roll meat ball in flour and brown in the shortening . place in a casserole dish and cover with the sweet and sour sauce . "
701,How many actions does it take to process the shortening?,1,"combine the first four ingredients , mix well , but lightly . shape into meatballs- about 36 ( may be frozen at this point and thawed as needed ) . roll meat ball in flour and brown in the shortening . place in a casserole dish and cover with the sweet and sour sauce . "
702,How many times is the bowl used?,1,"combine the first four ingredients , mix well , but lightly . shape into meatballs- about 36 ( may be frozen at this point and thawed as needed ) . roll meat ball in flour and brown in the shortening . place in a casserole dish and cover with the sweet and sour sauce . "
703,How many actions does it take to process the pepper?,1,"combine rice , eggs , onions , celery , chiles and cheese . blend sour cream , lemon juice , picante sauce , salt and pepper . pour over rice mixture ; mix well . chill . serve on salad greens and top with tomato . "
704,How many actions does it take to process the celery?,1,"combine rice , eggs , onions , celery , chiles and cheese . blend sour cream , lemon juice , picante sauce , salt and pepper . pour over rice mixture ; mix well . chill . serve on salad greens and top with tomato . "
705,How many actions does it take to process the dry ingredient?,2,"place dry ingredients in mixer bowl and mix at low speed to blend well . combine 3/4 cup water , oil , sweetener , vanilla and egg substitute and mix with fork to blend . add margarine to flour mixture along with liquid mixture and mix with a spoon only until well blended . spread evenly in a 9 "" square pan which has been greased with margarine . bake 30 - 35 minutes at 375degf or until cake tester comes out clean and the cake pulls away from the sides of the pan . cool to room temperature and cut 4x4 to yield 16 equal servings . "
706,How many actions does it take to process the margarine?,2,"pre heat foil lined greased dutch oven . in a medium pot , melt margarine , then remove from heat . stir in bread crumbs . mix hominy and corn in dutch oven . sprinkle crumb mixture over hominy and corn . cover oven and bake about 30 minutes . "
707,How many times is the spoon used?,1,"pre heat foil lined greased dutch oven . in a medium pot , melt margarine , then remove from heat . stir in bread crumbs . mix hominy and corn in dutch oven . sprinkle crumb mixture over hominy and corn . cover oven and bake about 30 minutes . "
708,How many actions does it take to process the corn?,3,"pre heat foil lined greased dutch oven . in a medium pot , melt margarine , then remove from heat . stir in bread crumbs . mix hominy and corn in dutch oven . sprinkle crumb mixture over hominy and corn . cover oven and bake about 30 minutes . "
709,How many actions does it take to process the butter?,1,"using the butter , grease a 9x13 cake pan well . whisk together the eggs , milk , salt , onion powder , and pepper . place the bread inside the pan and top with the beaten eggs and milk . sprinkle on the diced ham and shredded cheddar . cover tightly with plastic wrap and refrigerate overnight . bake at 350 for 30 - 40 minutes , or until the eggs are fully set and the top is light brown . remove and serve immediately . "
710,How many actions does it take to process the shredded cheddar?,1,"using the butter , grease a 9x13 cake pan well . whisk together the eggs , milk , salt , onion powder , and pepper . place the bread inside the pan and top with the beaten eggs and milk . sprinkle on the diced ham and shredded cheddar . cover tightly with plastic wrap and refrigerate overnight . bake at 350 for 30 - 40 minutes , or until the eggs are fully set and the top is light brown . remove and serve immediately . "
711,How many times is the preheated oven used?,3,"preheat oven to 180 degc ( 350 degf ) . butter a 20 cm ( 9 inch ) cake tin . blend sweet potato , butter , eggs , sugar , baking soda , salt and cinnamon in a food processor until smooth . stir in yoghurt and cornmeal and pour into greased , lined tin . bake for 45 minutes in preheated oven , or until a fine skewer comes out clean . cool a little before turning out . cut into squares to serve with meat and salad . cold cornbread can be fried quickly on both sides and served as a base for grilled meat . it is possible to substitute pumpkin for sweet potato , but it must be a dry pumpkin . "
712,How many actions does it take to process the pumpkin?,1,"preheat oven to 180 degc ( 350 degf ) . butter a 20 cm ( 9 inch ) cake tin . blend sweet potato , butter , eggs , sugar , baking soda , salt and cinnamon in a food processor until smooth . stir in yoghurt and cornmeal and pour into greased , lined tin . bake for 45 minutes in preheated oven , or until a fine skewer comes out clean . cool a little before turning out . cut into squares to serve with meat and salad . cold cornbread can be fried quickly on both sides and served as a base for grilled meat . it is possible to substitute pumpkin for sweet potato , but it must be a dry pumpkin . "
