,question,context,answer
2079,How many actions does it take to process the noodle?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",5
2080,How many large skillets are used?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",1
2081,How many times is the sink used?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",1
2082,How many spoons are used?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",1
2083,How many actions does it take to process the salted water?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",2
2084,How many times is the large skillet used?,"melt butter # part : melt # in a large # part : melt # skillet over medium heat . add # tool : large skillet 1.1.5 # the onion # part : add # and saute # habitat : large skillet 1.1.5 # until transparent . add # habitat : large skillet 1.1.5 # the cabbage # part : add # and saute # drop : cabbage 3.1.3, result : large skillet 1.1.5 # for 5 minutes ( or until tender ) . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # in the caraway # part : stir # seeds ( optional ) , salt # part : stir # and pepper # part : stir # . meanwhile , cook # habitat : pot 5.1.3 # the noodles # part : cook # in salted # part : cook # water as directed on package . do not overcook . drain # drop : salted water 5.1.7 noodles 5.1.5, habitat : sink 7.1.1 # well . stir # tool : spoon 4.1.1, habitat : large skillet 1.1.5 # the noodles # part : stir # into the onion # part : stir # / cabbage # part : stir # and add # habitat : large skillet 1.1.5 # the sour cream . cook # drop : cabbage 3.1.3 onion 2.1.3 noodles 5.1.5, habitat : large skillet 1.1.5 # five minutes longer ( until heated through ) , stirring # drop : noodles 5.1.5, result : polish pasta and cabbage 9.1.11, tool : spoon 4.1.1, habitat : large skillet 1.1.5 # frequently . ",10
2085,How many times is the mixing bowl used?,"preheat oven # part : preheat # to 350 degf. place half the sliced # part : place # apples in the pastry # part : place # shell . in a mixing # part : combine # bowl combine # result : mixture 3.1.5 # the suar # part : combine # , gingersnap # part : combine # crumbs , flour # part : combine # , cinnamon # part : combine # , salt # part : combine # , nutmeg # part : combine # , walnuts # part : combine # and butter # part : combine # sprinkle half the mixture # part : sprinkle # over the apples # part : sprinkle # in the pie # part : sprinkle # shell . layer the remaining apples # part : layer # over the crumb # part : layer # mixture . sprinkle # result : pie 6.1.1 # with the remaining crumbs # part : sprinkle # . bake # drop : pie 6.1.1, habitat : oven 1.1.2 # 45 minutes . heat # habitat : pan 8.1.1 # the maple # part : heat # syrup to boiling and pour # drop : maple syrup 8.1.3 # evenly over the pie # part : pour # . bake # drop : pie 6.1.1 maple syrup 8.1.3, result : baked pie 9.1.1, habitat : oven 1.1.2 # 15 to 20 minutes . ",1
2086,How many actions does it take to process the nutmeg?,"preheat oven # part : preheat # to 350 degf. place half the sliced # part : place # apples in the pastry # part : place # shell . in a mixing # part : combine # bowl combine # result : mixture 3.1.5 # the suar # part : combine # , gingersnap # part : combine # crumbs , flour # part : combine # , cinnamon # part : combine # , salt # part : combine # , nutmeg # part : combine # , walnuts # part : combine # and butter # part : combine # sprinkle half the mixture # part : sprinkle # over the apples # part : sprinkle # in the pie # part : sprinkle # shell . layer the remaining apples # part : layer # over the crumb # part : layer # mixture . sprinkle # result : pie 6.1.1 # with the remaining crumbs # part : sprinkle # . bake # drop : pie 6.1.1, habitat : oven 1.1.2 # 45 minutes . heat # habitat : pan 8.1.1 # the maple # part : heat # syrup to boiling and pour # drop : maple syrup 8.1.3 # evenly over the pie # part : pour # . bake # drop : pie 6.1.1 maple syrup 8.1.3, result : baked pie 9.1.1, habitat : oven 1.1.2 # 15 to 20 minutes . ",1
2087,How many actions does it take to process the apple?,"preheat oven # part : preheat # to 350 degf. place half the sliced # part : place # apples in the pastry # part : place # shell . in a mixing # part : combine # bowl combine # result : mixture 3.1.5 # the suar # part : combine # , gingersnap # part : combine # crumbs , flour # part : combine # , cinnamon # part : combine # , salt # part : combine # , nutmeg # part : combine # , walnuts # part : combine # and butter # part : combine # sprinkle half the mixture # part : sprinkle # over the apples # part : sprinkle # in the pie # part : sprinkle # shell . layer the remaining apples # part : layer # over the crumb # part : layer # mixture . sprinkle # result : pie 6.1.1 # with the remaining crumbs # part : sprinkle # . bake # drop : pie 6.1.1, habitat : oven 1.1.2 # 45 minutes . heat # habitat : pan 8.1.1 # the maple # part : heat # syrup to boiling and pour # drop : maple syrup 8.1.3 # evenly over the pie # part : pour # . bake # drop : pie 6.1.1 maple syrup 8.1.3, result : baked pie 9.1.1, habitat : oven 1.1.2 # 15 to 20 minutes . ",2
2088,How many actions does it take to process the lettuce?,"toss first 7 ingredients # part : toss # in a large # part : toss # bowl to mix # drop : ingredients 1.1.4 # and coat # drop : ingredients 1.1.4 # . line a large # part : line # serving platter with lettuce # part : line # . top # drop : lettuce 2.1.7, result : salad 3.1.1, habitat : large serving platter 2.1.3 # with ham # part : top # mixture , sprinkle # drop : ingredients 1.1.4 lettuce 2.1.7, habitat : large serving platter 2.1.3 # with almond # part : sprinkle # and serve # drop : lettuce 2.1.7 almond 3.1.8 ingredients 1.1.4 salad 3.1.1 # immediately . any kind of lettuce may be used if ca n't use boston . ",5
2089,How many large bowls are used?,"toss first 7 ingredients # part : toss # in a large # part : toss # bowl to mix # drop : ingredients 1.1.4 # and coat # drop : ingredients 1.1.4 # . line a large # part : line # serving platter with lettuce # part : line # . top # drop : lettuce 2.1.7, result : salad 3.1.1, habitat : large serving platter 2.1.3 # with ham # part : top # mixture , sprinkle # drop : ingredients 1.1.4 lettuce 2.1.7, habitat : large serving platter 2.1.3 # with almond # part : sprinkle # and serve # drop : lettuce 2.1.7 almond 3.1.8 ingredients 1.1.4 salad 3.1.1 # immediately . any kind of lettuce may be used if ca n't use boston . ",1
2090,How many large serving platters are used?,"toss first 7 ingredients # part : toss # in a large # part : toss # bowl to mix # drop : ingredients 1.1.4 # and coat # drop : ingredients 1.1.4 # . line a large # part : line # serving platter with lettuce # part : line # . top # drop : lettuce 2.1.7, result : salad 3.1.1, habitat : large serving platter 2.1.3 # with ham # part : top # mixture , sprinkle # drop : ingredients 1.1.4 lettuce 2.1.7, habitat : large serving platter 2.1.3 # with almond # part : sprinkle # and serve # drop : lettuce 2.1.7 almond 3.1.8 ingredients 1.1.4 salad 3.1.1 # immediately . any kind of lettuce may be used if ca n't use boston . ",1
2091,How many forks are used?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2092,How many actions does it take to process the peanut butter?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2093,How many whisks are used?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2094,How many refrigerators are used?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2095,How many wire racks are used?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2096,How many actions does it take to process the vanilla?,"cream together butter # part : cream # , peanut # part : cream # butter and sugars # part : cream # . slowly add in sriracha # part : add # , eggs # part : add # and vanilla # part : add # . beat # tool : whisk 2.2.1 # until combined # result : mixture 2.2.3 # . in another bowl # part : mix # mix together flour # part : mix # , baking # part : mix # powder , baking # part : mix # soda and salt # part : mix # . gently mix flour # part : mix # into peanut # part : mix # butter mixture until well combined # result : batter 4.1.10 # . place batter # part : place # into refrigerator # part : place # for 1 hour to chill # habitat : refrigerator 4.2.4 # . pre - heat oven # part : pre # to 375 degrees . roll dough # part : roll # into approx 1 ' ' sized balls # part : roll # or use a medium sized cookie scoop / size 40 - 11/2tbs portion . dip # result : dipped dough ball 6.2.1 # the top of dough # part : dip # ball into granulated # part : dip # sugar and place onto cookie # part : place # sheet . flatten each ball # part : flatten # with a fork # part : flatten # , making a criss - cross pattern . bake # drop : batter 4.1.10 # for 8 - 10 minutes or just until the cookies # part : brown # begin to brown . do not over - bake # drop : batter 4.1.10 # ! cool # drop : batter 4.1.10 # on wire # part : cool # racks and enjoy ! ",1
2097,How many buttered baking pans are used?,"first mix # drop : flour mixture 1.1.2 butter 1.1.2 egg whites 1.1.2 egg yolks 1.1.2, result : dough 1.1.2, tool : spoon 1.1.2, habitat : bowl 1.1.2 # in the usual manner . drop the dough # part : drop # by teaspoonfuls onto a buttered # part : drop # baking pan , shape into smooth rounds . bake # drop : dough 1.1.2 # in a moderate oven # part : bake # . for change add # drop : dough 1.1.2 # half a cup or more of cocoanut # part : add # . ",1
2098,How many ovens are used?,"first mix # drop : flour mixture 1.1.2 butter 1.1.2 egg whites 1.1.2 egg yolks 1.1.2, result : dough 1.1.2, tool : spoon 1.1.2, habitat : bowl 1.1.2 # in the usual manner . drop the dough # part : drop # by teaspoonfuls onto a buttered # part : drop # baking pan , shape into smooth rounds . bake # drop : dough 1.1.2 # in a moderate oven # part : bake # . for change add # drop : dough 1.1.2 # half a cup or more of cocoanut # part : add # . ",1
2099,How many spoons are used?,"first mix # drop : flour mixture 1.1.2 butter 1.1.2 egg whites 1.1.2 egg yolks 1.1.2, result : dough 1.1.2, tool : spoon 1.1.2, habitat : bowl 1.1.2 # in the usual manner . drop the dough # part : drop # by teaspoonfuls onto a buttered # part : drop # baking pan , shape into smooth rounds . bake # drop : dough 1.1.2 # in a moderate oven # part : bake # . for change add # drop : dough 1.1.2 # half a cup or more of cocoanut # part : add # . ",1
2100,How many actions does it take to process the cocoanut?,"first mix # drop : flour mixture 1.1.2 butter 1.1.2 egg whites 1.1.2 egg yolks 1.1.2, result : dough 1.1.2, tool : spoon 1.1.2, habitat : bowl 1.1.2 # in the usual manner . drop the dough # part : drop # by teaspoonfuls onto a buttered # part : drop # baking pan , shape into smooth rounds . bake # drop : dough 1.1.2 # in a moderate oven # part : bake # . for change add # drop : dough 1.1.2 # half a cup or more of cocoanut # part : add # . ",1
2101,How many stoves are used?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
2102,How many pans are used?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
2103,How many actions does it take to process the tomato pulp?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
2104,How many spoons are used?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
